"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Catacumba Submersa","Drowned Catacomb",1,NM,PTEN,R,L,,305,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cavaleiros de Rohan","Riders of Rohan",1,NM,PTEN,R,M,,67,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Celebrante do Combate","Combat Celebrant",1,NM,PTEN,M,R,,212,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cemiterio da Floresta","Woodland Cemetery",1,NM,PTEN,R,L,,346,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Chamado a Unidade","Call for Unity",1,NM,PTEN,R,W,,163,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cidade Portuaria","Port Town",1,NM,PTEN,R,L,,323,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cidadela da Estepe Arenosa","Sandsteppe Citadel",1,NM,PTEN,U,L,,327,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cirdan, o Armador","Cirdan the Shipwright",1,NM,PTEN,R,M,,50,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Com Ganancia Demais, Fundo Demais","Too Greedily, Too Deep",1,NM,PTEN,R,M,,72,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Comandante do Grupo de Cerco","Siege-Gang Commander",1,NM,PTEN,R,R,,228,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Confluencia Mistica","Mystic Confluence",1,NM,PTEN,R,U,,193,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Considerar,Consider,1,NM,PTEN,C,U,,187,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Contradicao Arcana","Arcane Denial",1,NM,PTEN,C,U,,184,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Convidada Voraz","Rapacious Guest",1,NM,PTEN,R,B,,28,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Convidados do Banquete","Banquet Guests",1,NM,PTEN,R,M,,47,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Convocacoes de Saruman","Summons of Saruman",1,NM,PTEN,R,M,,70,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Corda de Hithlain","Hithlain Rope",1,NM,PTEN,R,C,,76,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Corneta do Arauto","Herald's Horn",1,NM,PTEN,U,C,,280,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Coroa de Gondor","Crown of Gondor",1,NM,PTEN,R,C,,75,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Corsarios de Umbar","Corsairs of Umbar",1,NM,PTEN,R,U,,19,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Corte da Ira","Court of Ire",1,NM,PTEN,R,R,,213,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Corte Ventoveloz","Windswift Slice",1,NM,PTEN,R,G,,45,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cratereiro Goblin","Goblin Cratermaker",1,NM,PTEN,U,R,,218,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Crescimento Exuberante","Rampant Growth",1,NM,PTEN,C,G,,257,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Cultivar,Cultivate,1,NM,PTEN,C,G,,236,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Cumes dos Ventos Velozes","Windbrisk Heights",1,NM,PTEN,R,L,,345,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Dadiva da Realizadora de Desejos","Boon of the Wish-Giver",1,NM,PTEN,U,U,,185,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"De Ervas e Coelho Ensopado","Of Herbs and Stewed Rabbit",1,NM,PTEN,R,W,,17,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Debilitar,Languish,1,NM,PTEN,R,B,,202,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Decreto de Dor","Decree of Pain",1,NM,PTEN,R,B,,199,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Denethor, Vidente da Pedra","Denethor, Stone Seer",1,NM,PTEN,R,U,,20,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Derrubar os Poderosos","Fell the Mighty",1,NM,PTEN,R,W,,167,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Desertora Humilde","Humble Defector",1,NM,PTEN,U,R,,222,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Desertos Calcinados","Scoured Barrens",1,NM,PTEN,C,L,,329,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Desfazer Angustiado","Anguished Unmaking",1,NM,PTEN,R,M,,265,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Desolacao Fumegante","Ash Barrens",1,NM,PTEN,U,L,,295,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Devocao Crescente","Increasing Devotion",1,NM,PTEN,R,W,,171,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Diluvio Toxico","Toxic Deluge",1,NM,PTEN,R,B,,209,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Dragao da Colina Espinhosa","Knollspine Dragon",1,NM,PTEN,R,R,,224,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Dragao do Tesouro da Caverna","Cavern-Hoard Dragon",1,NM,PTEN,R,R,,31,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Druida do Paraiso","Paradise Druid",1,NM,PTEN,U,G,,255,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Elfo do Arvoredo","Arbor Elf",1,NM,PTEN,C,G,,232,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Elfo Flautista","Elvish Piper",1,NM,PTEN,R,G,,239,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Elfo Porto-Longinquo","Farhaven Elf",1,NM,PTEN,C,G,,243,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Elfos da Floresta","Wood Elves",1,NM,PTEN,C,G,,263,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Elrond do Conselho Branco","Elrond of the White Council",1,NM,PTEN,R,M,,51,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Emboscada dos Galadhrim","Galadhrim Ambush",1,NM,PTEN,R,G,,38,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Encarregada da Essencia","Essence Warden",1,NM,PTEN,C,G,,242,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Entreposto,"Trading Post",1,NM,PTEN,R,C,,288,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Eomer, Rei de Rohan","Eomer, King of Rohan",1,NM,PTEN,R,M,,52,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Eowyn, Donzela do Escudo","Eowyn, Shieldmaiden",1,NM,PTEN,M,M,,1,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Eowyn, Donzela do Escudo (Display Commander)","Eowyn, Shieldmaiden (Display Commander)",1,NM,PTEN,M,M,,81,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Epigrafe de Abundancia","Inscription of Abundance",1,NM,PTEN,R,G,,251,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Erestor do Conselho","Erestor of the Council",1,NM,PTEN,R,M,,53,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Erguer a Palicada","Raise the Palisade",1,NM,PTEN,R,U,,23,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Escudeira Altruista","Selfless Squire",1,NM,PTEN,R,W,,176,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Esfera do Comandante","Commander's Sphere",1,NM,PTEN,C,C,,276,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Espadas em Arados","Swords to Plowshares",1,NM,PTEN,U,W,,178,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Espiral de Crescimento","Growth Spiral",1,NM,PTEN,C,M,,267,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Estandarte do Vitorioso","Vanquisher's Banner",1,NM,PTEN,R,C,,289,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Estouro Esmagador","Overwhelming Stampede",1,NM,PTEN,R,G,,254,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Estuario Estrangulado","Choked Estuary",1,NM,PTEN,R,L,,299,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Executor Impiedoso","Merciless Executioner",1,NM,PTEN,U,B,,204,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Extrair das Trevas","Extract from Darkness",1,NM,PTEN,U,M,,266,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Faramir, Regente de Gondor","Faramir, Steward of Gondor",1,NM,PTEN,R,M,,54,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Farol Desolado","Desolate Lighthouse",1,NM,PTEN,R,L,,303,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fato ou Ficcao","Fact or Fiction",1,NM,PTEN,U,U,,190,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fazendeiro Villa","Farmer Cotton",1,NM,PTEN,R,M,,55,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fera Interior","Beast Within",1,NM,PTEN,U,G,,234,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Festanca do Ocaso","Sunset Revelry",1,NM,PTEN,U,W,,177,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fidelidade ao Reino","Fealty to the Realm",1,NM,PTEN,R,U,,21,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Flagelo do Trono","Scourge of the Throne",1,NM,PTEN,M,R,,225,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fontes Rejuvenescedoras","Rejuvenating Springs",1,NM,PTEN,R,L,,325,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fontes Sulfurosas","Sulfurous Springs",1,NM,PTEN,R,L,,334,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Forjaria do Campo de Batalha","Battlefield Forge",1,NM,PTEN,R,L,,296,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Formacao Inquebravel","Unbreakable Formation",1,NM,PTEN,R,W,,179,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Fortaleza Glacial","Glacial Fortress",1,NM,PTEN,R,L,,315,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Frigideira Testada em Campo","Field-Tested Frying Pan",1,NM,PTEN,R,W,,11,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Frisson das Possibilidades","Thrill of Possibility",1,NM,PTEN,C,R,,229,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Frodo, Hobbit Aventureiro","Frodo, Adventurous Hobbit",1,NM,PTEN,M,M,,2,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Frodo, Hobbit Aventureiro (Display Commander)","Frodo, Adventurous Hobbit (Display Commander)",1,NM,PTEN,M,M,,82,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Fumigar,Fumigate,1,NM,PTEN,R,W,,170,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Galadriel, Rainha Elfica","Galadriel, Elven-Queen",1,NM,PTEN,M,M,,3,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Galadriel, Rainha Elfica (Display Commander)","Galadriel, Elven-Queen (Display Commander)",1,NM,PTEN,M,M,,83,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Gandalf, Viajante Rumo ao Oeste","Gandalf, Westward Voyager",1,NM,PTEN,M,M,,6,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Ganso Dourado","Gilded Goose",1,NM,PTEN,R,G,,246,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Gilraen, Protetora Dunedain","Gilraen, Dunedain Protector",1,NM,PTEN,R,W,,13,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Gimli das Cavernas Cintilantes","Gimli of the Glittering Caves",1,NM,PTEN,R,R,,32,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Gollum, Espreitador Obcecado","Gollum, Obsessed Stalker",1,NM,PTEN,R,B,,26,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Grande Carvalho Guardiao","Great Oak Guardian",1,NM,PTEN,U,G,,247,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Grevas Faiscantes","Lightning Greaves",1,NM,PTEN,U,C,,281,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Grima, Lacaio de Saruman","Grima, Saruman's Footman",1,NM,PTEN,R,M,,57,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Gwaihir, a Maior das Aguias","Gwaihir, Greatest of the Eagles",1,NM,PTEN,R,W,,15,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Haldir, Tenente de Lorien","Haldir, Lorien Lieutenant",1,NM,PTEN,R,G,,39,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Harmonizar,Harmonize,1,NM,PTEN,U,G,,248,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Hobbit Glutao","Feasting Hobbit",1,NM,PTEN,R,G,,37,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Impeto Brilhante","Shiny Impetus",1,NM,PTEN,U,R,,227,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Incursao de Cripta","Crypt Incursion",1,NM,PTEN,C,B,,198,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Intervencao Heroica","Heroic Intervention",1,NM,PTEN,R,G,,249,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Ira,Anger,1,NM,PTEN,U,R,,210,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Juramento de Eorl","Oath of Eorl",1,NM,PTEN,R,M,,64,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Ladrao de Nocao","Notion Thief",1,NM,PTEN,R,M,,270,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Lamina de Heranca","Heirloom Blade",1,NM,PTEN,U,C,,279,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Lamina de Lothlorien","Lothlorien Blade",1,NM,PTEN,R,C,,77,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Lanterna Cromatica","Chromatic Lantern",1,NM,PTEN,R,C,,275,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Laracna, Tecela Macabra","Shelob, Dread Weaver",1,NM,PTEN,R,B,,29,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Legolas Verdefolha","Legolas Greenleaf",1,NM,PTEN,R,G,,40,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Liame da Calmafuriosa","Furycalm Snarl",1,NM,PTEN,R,L,,313,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Liame da Luminovinha","Vineglimmer Snarl",1,NM,PTEN,R,L,,343,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Liame da Necroflorescencia","Necroblossom Snarl",1,NM,PTEN,R,L,,321,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Liame da Pirogeada","Frostboil Snarl",1,NM,PTEN,R,L,,312,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Liame do Umbrolume","Shineshadow Snarl",1,NM,PTEN,R,L,,331,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Lignificar,Lignify,1,NM,PTEN,C,G,,252,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Lobelia, Defensora de Bolsao","Lobelia, Defender of Bag End",1,NM,PTEN,R,B,,27,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Luz Banidora","Banishing Light",1,NM,PTEN,U,W,,161,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Macegal,Brushland,1,NM,PTEN,R,L,,297,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mamute de Guerra Enfurecido","Rampaging War Mammoth",1,NM,PTEN,R,R,,34,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Manto de Seda Ruflante","Whispersilk Cloak",1,NM,PTEN,U,C,,292,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mare da Devastacao","Devastation Tide",1,NM,PTEN,R,U,,189,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Medico da Linha de Frente","Frontline Medic",1,NM,PTEN,R,W,,169,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mentor Austero","Harsh Mentor",1,NM,PTEN,R,R,,221,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mentor dos Humildes","Mentor of the Meek",1,NM,PTEN,R,W,,173,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Merry, Protetor de Isengard","Merry, Warden of Isengard",1,NM,PTEN,R,M,,61,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mestre de Cerco Orc","Orcish Siegemaster",1,NM,PTEN,R,R,,33,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mestre de Guerra Elfo","Elvish Warmaster",1,NM,PTEN,R,G,,241,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Mistico Elfico","Elvish Mystic",1,NM,PTEN,C,G,,238,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Modelo de Unidade","Model of Unity",1,NM,PTEN,R,C,,78,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Monolito de Basalto","Basalt Monolith",1,NM,PTEN,U,C,,274,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Monstruosidade do Lago","Monstrosity of the Lake",1,NM,PTEN,R,U,,22,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Morte Viva","Living Death",1,NM,PTEN,R,B,,203,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,Mortificar,Mortify,1,NM,PTEN,U,M,,269,
"Contos da Terra Média Commander","Tales of Middle-earth Commander",ltc,"Nas Trevas Amarra-los","In the Darkness Bind Them",1,NM,PTEN,R,M,,58,
